문화재명,시군구명,종목,경도,위도,대표이미지
범어사 동종,금정구,시도유형문화재,129.0686611,35.2842321,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636769.jpg
운수사대웅전,사상구,시도유형문화재,129.0125768,35.1836762,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636772.jpg
운수사 대웅전 석조여래삼존좌상,사상구,시도유형문화재,129.0125768,35.1836762,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636776.jpg
국청사소장강희5년명금고,금정구,시도유형문화재,129.0548705,35.2536125,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636777.jpg
장안사대웅전석조삼세불좌상,기장군,시도유형문화재,129.2329449,35.3746205,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636779.jpg
선암사 목조아미타여래좌상 및 복장유물,부산진구,시도유형문화재,129.0277584,35.1769363,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636781.jpg
범어사 원효암 목조관음보살좌상,금정구,시도유형문화재,129.0661191,35.2767279,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636783.jpg
원광사 영산회상도,동래구,시도유형문화재,129.0534608,35.1936546,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636785.jpg
동래향청 고왕록,남구,시도유형문화재,129.0842177,35.2077162,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636786.jpg
동래향교 고왕록,남구,시도유형문화재,129.0842177,35.2077162,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636789.jpg
흑유호 및 흑유정병,서구,시도유형문화재,129.0193361,35.1046988,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636793.jpg
분청사기인화국화문사이부태호,서구,시도유형문화재,129.0193361,35.1046988,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636795.jpg
갑인춘 친정도,서구,시도유형문화재,129.0193361,35.1046988,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636796.jpg
고려사,서구,시도유형문화재,129.0193361,35.1046988,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/1636797.jpg
기장 장관청,기장군,시도유형문화재,129.212149845806,35.244171030098,http://www.cha.go.kr/unisearch/images/tangible_cult_prop/2575235.jpg
연산동 고분군,연제구,시도기념물,129.0916623,35.1855573,http://www.cha.go.kr/unisearch/images/monument/1644911.jpg
만덕사지,북구,시도기념물,129.044568041225,35.2159326016869,http://www.cha.go.kr/unisearch/images/monument/1644914.jpg
배산성지,연제구,시도기념물,129.096260492875,35.179654942123,http://www.cha.go.kr/unisearch/images/monument/1644922.jpg
동래읍성지,동래구,시도기념물,129.092241138699,35.207536283957,http://www.cha.go.kr/unisearch/images/monument/1644924.jpg
구포왜성,북구,시도기념물,129.006914434868,35.2166916342311,http://www.cha.go.kr/unisearch/images/monument/1644937.jpg
부산진성,동구,시도기념물,129.061163409841,35.1361663672079,http://www.cha.go.kr/unisearch/images/monument/1644941.jpg
경상좌수영성지,수영구,시도기념물,129.115748146319,35.1703303692698,http://www.cha.go.kr/unisearch/images/monument/1644945.jpg
윤공단,사하구,시도기념물,128.972885457933,35.0603316325568,http://www.cha.go.kr/unisearch/images/monument/1644949.jpg
정공단,동구,시도기념물,129.053663261713,35.1351852735111,http://www.cha.go.kr/unisearch/images/monument/1644966.jpg
송공단,동래구,시도기념물,129.085946667901,35.2042124063043,http://www.cha.go.kr/unisearch/images/monument/1644974.jpg
25의용단,수영구,시도기념물,129.113522026292,35.1715500806236,http://www.cha.go.kr/unisearch/images/monument/1644984.jpg
임진동래의총,동래구,시도기념물,129.073538690556,35.2221087295647,http://www.cha.go.kr/unisearch/images/monument/1644990.jpg
온정개건비,동래구,시도기념물,129.081216890542,35.2201408444736,http://www.cha.go.kr/unisearch/images/monument/1645001.jpg
금정산성부설비,금정구,시도기념물,129.081384509914,35.2289086585213,http://www.cha.go.kr/unisearch/images/monument/1645006.jpg
내주축성비,동래구,시도기념물,129.09014722754,35.2095910997194,http://www.cha.go.kr/unisearch/images/monument/2666159.jpg
약조제찰비,남구,시도기념물,129.0938034,35.1295802,http://www.cha.go.kr/unisearch/images/monument/1645015.jpg
척화비,남구,시도기념물,129.0938034,35.1295802,http://www.cha.go.kr/unisearch/images/monument/1645018.jpg
부산진성 서문성곽우주석,동구,시도기념물,129.0604501,35.1357381,http://www.cha.go.kr/unisearch/images/monument/1645025.jpg
정운공순의비,사하구,시도기념물,128.9699095,35.0402389,http://www.cha.go.kr/unisearch/images/monument/1645032.jpg
동래남문비,남구,시도기념물,129.0938034,35.1295802,http://www.cha.go.kr/unisearch/images/monument/1645049.jpg
유엔묘지,남구,시도기념물,129.0975474,35.1258307,http://www.cha.go.kr/unisearch/images/no_image.gif
용두산공원,중구,시도기념물,129.0324661,35.1006677,http://www.cha.go.kr/unisearch/images/no_image.gif
금강공원,동래구,시도기념물,129.0704041,35.2203613,http://www.cha.go.kr/unisearch/images/no_image.gif
몰운대,사하구,시도기념물,128.969667261585,35.0399872524228,http://www.cha.go.kr/unisearch/images/monument/1645058.jpg
태종대,영도구,시도기념물,129.0877277,35.0562832,http://www.cha.go.kr/unisearch/images/monument/1645077.jpg
신선대,남구,시도기념물,129.102795594865,35.1022649890914,http://www.cha.go.kr/unisearch/images/monument/1645087.jpg
송도해수욕장,서구,시도기념물,129.0225022,35.076414,http://www.cha.go.kr/unisearch/images/no_image.gif
